condition,condition_subtype,group
1-57,class 3,D1
2-15,class 2,C
ADG-2,class 4,F3
B38,class 1,A
BD-236,class 1,A
BD-254,class 2,C
BD-319,class 1,B
BD-362,class 2,C
BD-368,class 2,C
BD-369,class 1,A
BD-397,class 2,C
BD-403,class 2,C
BD-417,class 1,B
BD-449,class 4,F3
BD-467,class 3,D2
BD-494,class 4,A
BD-498,class 1,A
BD-500,class 1,A
BD-503,class 1,A
BD-504,class 1,A
BD-508,class 1,A
BD-536,class 2,C
BD-566,class 1,B
BD-598,class 1,A
BD-599,class 1,A
BD-605,class 1,A
BD-612,class 1,A
BD-614,class 1,A
BD-616,class 1,A
BD-618,class 1,A
BD-619,class 1,A
BD-623,class 1,B
BD-643,class 3,D1
BD-692,class 3,E2.2
BD-693,class 1,A
BD-694,class 1,A
BD-702,class 4,F2
BD-708,class 4,F1
BD-713,class 3,E2.1
BD-715,class 1,A
BD-739,class 1,A
BD-744,class 3,E2.1
BD-748,class 3,E2.2
BD-790,class 2,C
BD-791,class 2,C
BD-796,class 3,E2.2
BD-801,class 4,F2
BD-804,class 3,D1
BD-805,class 1,B
BD-812,class 3,D2
BD-815,class 3,E3
BD-817,class 3,D2
BD-822,class 1,A
BD-824,class 3,D1
BD-833,class 1,B
BD-836,class 1,B
BD-864,class 3,D1
BD-870,class 2,C
BD-899,class 4,F2
BD-900,class 2,C
BD-907,class 3,E1
BD-913,class 3,E2.2
BD-914,class 3,E2.1
BD-915,class 1,A
BD-918,class 3,D1
BD-922,class 1,B
BD-923,class 3,E2.1
BD55-1004,class 4,F1
BD55-1009,class 3,D1
BD55-1027,class 3,E3
BD55-1029,class 3,E2.1
BD55-1038,class 4,F1
BD55-1039,class 3,D1
BD55-1041,class 3,E3
BD55-1049,class 2,C
BD55-1051,class 2,C
BD55-1061,class 1,A
BD55-1064,class 4,F1
BD55-1065,class 2,C
BD55-1070,class 4,F1
BD55-1073,class 3,E2.1
BD55-1075,class 4,F2
BD55-1078,class 2,C
BD55-1084,class 2,C
BD55-1091,class 3,E1
BD55-1092,class 1,A
BD55-1096,class 4,F2
BD55-1104,class 3,D2
BD55-1109,class 3,D2
BD55-1114,class 3,E1
BD55-1117,class 4,F2
BD55-1128,class 4,F1
BD55-1129,class 4,F2
BD55-1132,class 4,F1
BD55-1136,class 3,D2
BD55-1140,class 3,E3
BD55-1146,class 3,E3
BD55-1171,class 2,C
BD55-1180,class 1,B
BD55-1192,class 2,C
BD55-1199,class 3,E3
BD55-1208,class 1,A
BD55-1223,class 2,C
BD55-1225,class 4,F2
BD55-1226,class 4,F1
BD55-1232,class 3,E1
BD55-1233,class 4,F2
BD55-1237,class 4,F2
BD55-1239,class 4,F2
BD55-1241,class 3,E3
BD55-1242,class 4,F1
BD55-1244,class 4,F1
