date,t,p_infected_tested,p_tested,p_infected,p_tested_infected,pop,smoothed_P_t_i,newCases,smoothedCases,pRelDetection,pRelUnderdetection,minNTrue,minUnderdetection,minTrueIncidence,reportedIncidence
2022-03-10,9,0.52,0.003578,0.000081,22.953,84334787,24.158,365792,385638,0.817,0.183,472160,86522,3919.047,3200.893
2022-03-11,10,0.523,0.00368,0.000081,23.68,84334787,24.436,377619,390165,0.826,0.174,472264,82099,3919.91,3238.468
2022-03-12,11,0.526,0.003783,0.000082,24.404,84334787,24.773,391448,395655,0.838,0.162,472405,76750,3921.081,3284.036
2022-03-13,12,0.529,0.003885,0.000082,25.121,84334787,25.172,400995,402160,0.851,0.149,472554,70394,3922.317,3338.029
2022-03-14,13,0.533,0.003931,0.000082,25.507,84334787,25.637,403584,409603,0.867,0.133,472582,62979,3922.55,3399.808
2022-03-15,14,0.537,0.003976,0.000082,25.939,84334787,26.165,415503,417714,0.885,0.115,472206,54492,3919.429,3467.132
2022-03-16,15,0.54,0.004022,0.000082,26.463,84334787,26.751,426129,426021,0.904,0.096,471042,45021,3909.767,3536.082
2022-03-17,16,0.544,0.004067,0.000082,27.112,84334787,27.378,439197,433943,0.926,0.074,468811,34868,3891.25,3601.836
2022-03-18,17,0.548,0.004113,0.000081,27.923,84334787,28.013,450809,440965,0.947,0.053,465610,24645,3864.68,3660.121
2022-03-19,18,0.552,0.004159,0.000079,28.92,84334787,28.603,455343,446804,0.967,0.033,462036,15232,3835.015,3708.586
2022-03-20,19,0.556,0.004204,0.000078,30.066,84334787,29.091,451712,451444,0.984,0.016,459008,7564,3809.882,3747.099
2022-03-21,20,0.555,0.004167,0.000076,30.352,84334787,29.425,451785,455029,0.995,0.005,457397,2368,3796.51,3776.855
2022-03-22,21,0.554,0.004129,0.000075,30.375,84334787,29.578,460318,457665,1,0,457665,0,3798.735,3798.735
2022-03-23,22,0.554,0.004092,0.000075,30.084,84334787,29.551,465950,459316,0.999,0.001,459739,423,3815.95,3812.439
2022-03-24,23,0.553,0.004055,0.000076,29.628,84334787,29.364,466120,459808,0.993,0.007,463157,3349,3844.32,3816.522
2022-03-25,24,0.553,0.004017,0.000076,29.182,84334787,29.044,463677,458915,0.982,0.018,467351,8436,3879.131,3809.11
2022-03-26,25,0.552,0.00398,0.000076,28.846,84334787,28.609,460698,456436,0.967,0.033,471896,15460,3916.856,3788.534
2022-03-27,26,0.551,0.003942,0.000076,28.647,84334787,28.066,459276,452217,0.949,0.051,476580,24363,3955.734,3753.515
2022-03-28,27,0.546,0.003855,0.000075,27.909,84334787,27.417,453691,446154,0.927,0.073,481322,35168,3995.094,3703.191
2022-03-29,28,0.541,0.003768,0.000075,27.05,84334787,26.668,444821,438221,0.902,0.098,486043,47822,4034.279,3637.345
2022-03-30,29,0.536,0.00368,0.000076,26.025,84334787,25.835,436090,428517,0.873,0.127,490608,62091,4072.17,3556.799
2022-03-31,30,0.531,0.003593,0.000076,24.957,84334787,24.942,422333,417296,0.843,0.157,494866,77570,4107.513,3463.662
2022-04-01,31,0.526,0.003506,0.000077,23.942,84334787,24.015,406716,404924,0.812,0.188,498728,93804,4139.568,3360.971
2022-04-02,32,0.521,0.003418,0.000077,23.003,84334787,23.075,388878,391767,0.78,0.22,502185,110418,4168.262,3251.765
2022-04-03,33,0.516,0.003331,0.000078,22.12,84334787,22.133,375949,378083,0.748,0.252,505265,127182,4193.827,3138.184
2022-04-04,34,0.513,0.003232,0.000078,21.235,84334787,21.195,369360,364010,0.717,0.283,507976,143966,4216.329,3021.375
2022-04-05,35,0.509,0.003133,0.000079,20.311,84334787,20.267,354626,349682,0.685,0.315,510347,160665,4236.009,2902.449
2022-04-06,36,0.506,0.003033,0.000079,19.315,84334787,19.355,336447,335392,0.654,0.346,512543,177151,4254.236,2783.838
2022-04-07,37,0.502,0.002934,0.000081,18.283,84334787,18.475,316136,321646,0.625,0.375,514944,193298,4274.165,2669.743
2022-04-08,38,0.498,0.002835,0.000082,17.325,84334787,17.644,297812,309039,0.597,0.403,518081,209042,4300.203,2565.102
2022-04-09,39,0.495,0.002736,0.000082,16.524,84334787,16.873,286690,297994,0.57,0.43,522389,224395,4335.96,2473.425
2022-04-10,40,0.491,0.002636,0.000082,15.828,84334787,16.165,281857,288544,0.547,0.453,527966,239422,4382.251,2394.988
2022-04-11,41,0.499,0.002536,0.000082,15.441,84334787,15.512,280756,280287,0.524,0.476,534464,254177,4436.186,2326.453
2022-04-12,42,0.506,0.002436,0.000082,14.944,84334787,14.895,276578,272548,0.504,0.496,541219,268671,4492.254,2262.217
2022-04-13,43,0.513,0.002335,0.000083,14.362,84334787,14.297,268568,264636,0.483,0.517,547487,282851,4544.28,2196.546
2022-04-14,44,0.521,0.002235,0.000085,13.747,84334787,13.705,260094,256073,0.463,0.537,552678,296605,4587.367,2125.47
2022-04-15,45,0.528,0.002134,0.000086,13.127,84334787,13.113,255352,246724,0.443,0.557,556537,309813,4619.397,2047.871
2022-04-16,46,0.535,0.002034,0.000087,12.494,84334787,12.524,231986,236822,0.423,0.577,559303,322481,4642.356,1965.682
2022-04-17,47,0.543,0.001933,0.000089,11.817,84334787,11.946,225120,226927,0.404,0.596,561867,334940,4663.638,1883.551
2022-04-18,48,0.537,0.001916,0.000091,11.305,84334787,11.387,222697,217845,0.385,0.615,565887,348042,4697.005,1808.168
2022-04-19,49,0.531,0.001899,0.000094,10.756,84334787,10.852,193075,210476,0.367,0.633,573670,363194,4761.606,1747.004
2022-04-20,50,0.526,0.001882,0.000097,10.222,84334787,10.347,186285,205571,0.35,0.65,587641,382070,4877.568,1706.291
2022-04-21,51,0.52,0.001865,0.000100,9.744,84334787,9.874,192244,203459,0.334,0.666,609458,405999,5058.655,1688.761
2022-04-22,52,0.515,0.001847,0.000102,9.325,84334787,9.435,193718,203874,0.319,0.681,639152,435278,5305.123,1692.206
2022-04-23,53,0.509,0.00183,0.000104,8.942,84334787,9.03,210495,205974,0.305,0.695,674660,468686,5599.848,1709.636
2022-04-24,54,0.503,0.001813,0.000107,8.566,84334787,8.664,211262,208534,0.293,0.707,711916,503382,5909.082,1730.885
2022-04-25,55,0.491,0.001818,0.000109,8.168,84334787,8.341,209227,210226,0.282,0.718,745471,535245,6187.597,1744.929
2022-04-26,56,0.478,0.001824,0.000111,7.819,84334787,8.067,232700,209938,0.273,0.727,769754,559816,6389.152,1742.538
2022-04-27,57,0.465,0.001829,0.000112,7.597,84334787,7.844,227207,207056,0.265,0.735,780790,573734,6480.754,1718.617
2022-04-28,58,0.453,0.001834,0.000111,7.491,84334787,7.668,208927,201631,0.259,0.741,777787,576156,6455.828,1673.588
2022-04-29,59,0.44,0.00184,0.000109,7.449,84334787,7.527,191442,194309,0.254,0.746,763515,569206,6337.367,1612.814
2022-04-30,60,0.427,0.001845,0.000106,7.431,84334787,7.405,179651,186015,0.25,0.75,743007,556992,6167.145,1543.971
