date,t,p_infected_tested,p_tested,p_infected,p_tested_infected,pop,smoothed_P_t_i,newCases,smoothedCases,pRelDetection,pRelUnderdetection,minNTrue,minUnderdetection,minTrueIncidence,reportedIncidence
2021-02-01,369,0.083,0.001943,0.0000067,24.125,84334787,19.85,22333,20119,0.578,0.422,34780,14661,288.683,166.993
2021-02-02,370,0.082,0.001931,0.0000068,23.062,84334787,19.468,22079,19880,0.567,0.433,35041,15161,290.849,165.009
2021-02-03,371,0.08,0.001919,0.0000071,21.867,84334787,19.062,21161,19615,0.555,0.445,35312,15697,293.099,162.809
2021-02-04,372,0.079,0.001906,0.0000073,20.538,84334787,18.634,20478,19324,0.543,0.457,35585,16261,295.364,160.394
2021-02-05,373,0.078,0.001894,0.0000077,19.153,84334787,18.192,19948,19006,0.53,0.47,35850,16844,297.564,157.755
2021-02-06,374,0.076,0.001882,0.0000080,17.86,84334787,17.743,19220,18664,0.517,0.483,36096,17432,299.606,154.916
2021-02-07,375,0.075,0.00187,0.0000083,16.772,84334787,17.296,18771,18301,0.504,0.496,36309,18008,301.374,151.903
2021-02-08,376,0.073,0.00186,0.0000086,15.906,84334787,16.862,18452,17922,0.491,0.509,36472,18550,302.727,148.757
2021-02-09,377,0.072,0.00185,0.0000087,15.244,84334787,16.452,17977,17534,0.479,0.521,36571,19037,303.549,145.537
2021-02-10,378,0.07,0.00184,0.0000087,14.756,84334787,16.077,17060,17148,0.469,0.531,36602,19454,303.806,142.333
2021-02-11,379,0.069,0.00183,0.0000087,14.414,84334787,15.744,16162,16772,0.459,0.541,36555,19783,303.416,139.212
2021-02-12,380,0.067,0.00182,0.0000086,14.185,84334787,15.46,15552,16419,0.451,0.549,36443,20024,302.486,136.282
2021-02-13,381,0.066,0.00181,0.0000084,14.044,84334787,15.227,15128,16096,0.444,0.556,36273,20177,301.075,133.601
2021-02-14,382,0.064,0.0018,0.0000082,13.972,84334787,15.044,14330,15814,0.438,0.562,36072,20258,299.407,131.26
2021-02-15,383,0.064,0.001811,0.0000080,14.36,84334787,14.907,14521,15578,0.434,0.566,35860,20282,297.647,129.301
2021-02-16,384,0.063,0.001821,0.0000078,14.737,84334787,14.811,14575,15392,0.432,0.568,35661,20269,295.995,127.757
2021-02-17,385,0.063,0.001832,0.0000077,15.005,84334787,14.75,14615,15257,0.43,0.57,35496,20239,294.626,126.637
2021-02-18,386,0.062,0.001843,0.0000076,15.091,84334787,14.717,14533,15170,0.429,0.571,35371,20201,293.588,125.915
2021-02-19,387,0.062,0.001854,0.0000077,14.999,84334787,14.709,14487,15129,0.429,0.571,35295,20166,292.957,125.575
2021-02-20,388,0.062,0.001865,0.0000078,14.79,84334787,14.722,14537,15129,0.429,0.571,35264,20135,292.7,125.575
2021-02-21,389,0.061,0.001876,0.0000079,14.513,84334787,14.754,15161,15164,0.43,0.57,35270,20106,292.75,125.865
2021-02-22,390,0.061,0.001892,0.0000081,14.317,84334787,14.802,14951,15228,0.431,0.569,35303,20075,293.024,126.396
2021-02-23,391,0.061,0.001908,0.0000083,14.091,84334787,14.865,14955,15314,0.433,0.567,35353,20039,293.439,127.11
2021-02-24,392,0.061,0.001924,0.0000085,13.955,84334787,14.938,15222,15418,0.435,0.565,35419,20001,293.987,127.973
2021-02-25,393,0.061,0.001941,0.0000084,14.099,84334787,15.016,15597,15534,0.438,0.562,35500,19966,294.659,128.936
2021-02-26,394,0.061,0.001957,0.0000082,14.598,84334787,15.091,15793,15658,0.44,0.56,35604,19946,295.522,129.965
2021-02-27,395,0.061,0.001973,0.0000079,15.346,84334787,15.156,16008,15789,0.442,0.558,35749,19960,296.726,131.053
2021-02-28,396,0.061,0.001989,0.0000076,16.163,84334787,15.201,15977,15925,0.443,0.557,35949,20024,298.386,132.182
2021-03-01,397,0.061,0.001985,0.0000073,16.709,84334787,15.222,16098,16066,0.444,0.556,36219,20153,300.627,133.352
2021-03-02,398,0.062,0.001981,0.0000072,16.982,84334787,15.213,16179,16215,0.443,0.557,36575,20360,303.582,134.589
2021-03-03,399,0.062,0.001976,0.0000072,16.906,84334787,15.178,16407,16375,0.442,0.558,37022,20647,307.292,135.917
2021-03-04,400,0.062,0.001972,0.0000074,16.469,84334787,15.122,16409,16552,0.441,0.559,37560,21008,311.757,137.386
2021-03-05,401,0.062,0.001968,0.0000078,15.693,84334787,15.057,16478,16750,0.439,0.561,38173,21423,316.846,139.029
2021-03-06,402,0.062,0.001963,0.0000083,14.641,84334787,14.999,16531,16979,0.437,0.563,38845,21866,322.423,140.93
2021-03-07,403,0.062,0.001959,0.0000090,13.484,84334787,14.964,16712,17243,0.436,0.564,39540,22297,328.192,143.121
2021-03-08,404,0.063,0.00199,0.0000097,12.853,84334787,14.97,16687,17551,0.436,0.564,40230,22679,333.919,145.678
2021-03-09,405,0.063,0.00202,0.0000101,12.64,84334787,15.032,16733,17907,0.438,0.562,40879,22972,339.306,148.633
2021-03-10,406,0.064,0.002051,0.0000101,12.937,84334787,15.159,16892,18317,0.442,0.558,41463,23146,344.153,152.036
2021-03-11,407,0.065,0.002082,0.0000099,13.609,84334787,15.358,17658,18782,0.448,0.552,41965,23183,348.32,155.895
2021-03-12,408,0.065,0.002112,0.0000096,14.441,84334787,15.628,18522,19304,0.455,0.545,42386,23082,351.814,160.228
2021-03-13,409,0.066,0.002143,0.0000093,15.265,84334787,15.965,19352,19882,0.465,0.535,42735,22853,354.711,165.026
2021-03-14,410,0.067,0.002173,0.0000091,15.998,84334787,16.358,19973,20512,0.477,0.523,43029,22517,357.152,170.255
2021-03-15,411,0.068,0.002195,0.0000089,16.806,84334787,16.797,20395,21190,0.489,0.511,43291,22101,359.326,175.882
2021-03-16,412,0.07,0.002217,0.0000089,17.497,84334787,17.267,20966,21910,0.503,0.497,43544,21634,361.426,181.859
2021-03-17,413,0.072,0.002239,0.0000089,18.064,84334787,17.754,22185,22666,0.517,0.483,43808,21142,363.617,188.134
2021-03-18,414,0.074,0.002261,0.0000090,18.529,84334787,18.247,23430,23451,0.532,0.468,44102,20651,366.058,194.649
2021-03-19,415,0.075,0.002282,0.0000091,18.956,84334787,18.733,24451,24258,0.546,0.454,44437,20179,368.838,201.348
2021-03-20,416,0.077,0.002304,0.0000091,19.42,84334787,19.2,25348,25078,0.56,0.44,44820,19742,372.017,208.154
2021-03-21,417,0.079,0.002326,0.0000092,19.968,84334787,19.64,26133,25903,0.572,0.428,45257,19354,375.645,215.001
2021-03-22,418,0.081,0.002338,0.0000092,20.568,84334787,20.043,26452,26723,0.584,0.416,45751,19028,379.745,221.808
2021-03-23,419,0.083,0.002349,0.0000092,21.108,84334787,20.401,27040,27527,0.595,0.405,46301,18774,384.31,228.481
2021-03-24,420,0.085,0.002361,0.0000093,21.502,84334787,20.706,28085,28301,0.603,0.397,46903,18602,389.307,234.905
2021-03-25,421,0.087,0.002373,0.0000094,21.813,84334787,20.95,29309,29032,0.611,0.389,47554,18522,394.71,240.973
2021-03-26,422,0.089,0.002384,0.0000096,22.152,84334787,21.127,30786,29704,0.616,0.384,48246,18542,400.454,246.551
2021-03-27,423,0.091,0.002396,0.0000097,22.562,84334787,21.235,32025,30303,0.619,0.381,48969,18666,406.455,251.523
2021-03-28,424,0.093,0.002407,0.0000097,23.005,84334787,21.271,32755,30815,0.62,0.38,49712,18897,412.622,255.772
2021-03-29,425,0.095,0.00235,0.0000098,22.798,84334787,21.237,33222,31232,0.619,0.381,50465,19233,418.872,259.233
